"County","Station # *","Location Type","Name of Location","Deer Service Type","Bear Registration Type","Physical Address","City","Zip","Phone","Notes"
"Marathon, Wood","3799","2. CWD sampling self-service kiosk","MEAD WILDLIFE AREA HEADQUARTERS","CWD Testing Only - Must have completed electronic registration","Not Available for bear","201517 COUNTY HWY S","MILLADORE","54454","715-540-6005","24 hour, 7 day Self-Serve Kiosks  Please have Tag # and Customer ID number and location information ready to fill out Data Sheet"
"Marinette","3822","2. CWD sampling self-service kiosk","PELKIN'S SMOKEY MEAT MARKET","CWD Testing Only - Must have completed electronic registration","Not Available for bear","600 S US HWY 141","CRIVITZ","54114","715-927-2750","Kiosk is open 24/7 and can be found in the back by deer drop-off."
"Marinette","3818","2. CWD sampling self-service kiosk","PESHTIGO SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","101 NORTH OGDEN AVE","PESHTIGO","54157","715-927-1812","Kiosk is in front of main garage. Kiosk is open 24/7."
"Marinette","3817","2. CWD sampling self-service kiosk","WAUSAUKEE RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","BOX 199 1025 HWY C","WAUSAUKEE","54177","715-927-2750","Kiosk is available 24/7 and located in front of the main door."
"Marinette","3819","2. CWD sampling self-service kiosk","PEMBINE RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N18225 USH 141","PEMBINE","54156","715-927-2750","Kiosk is open 24/7."
"Marinette, Oconto","3824","2. CWD sampling self-service kiosk","MEATSKI'S","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W11124 STATE HWY 64","POUND","54161","715-927-1812",""
"Marquette","3903","3. CWD sampling by appointment only","DARRELL VOGEL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W5227 COUNTY RD J","WESTFIELD","53964","608-369-4545","By appointment...Please call ahead"
"Marquette","3915","2. CWD sampling self-service kiosk","DNR GRAND RIVER SHED","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W1854 CTY HWY B","DALTON","53926","920-410-7464","Daily 24 Hrs.   Next to the brown pole building on the DNR Grand River Wildlife Area."
"Marquette","3916","2. CWD sampling self-service kiosk","MONTELLO RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","363 CHURCH ST.","MONTELLO","53949","920-410-7464","Daily 24 Hrs.   On Hwy 22 just north of Montello."
"Monroe","4246","3. CWD sampling by appointment only","THE MEAT SHOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","25321 GRAIN AVE","TOMAH","54660","608-372-6039",""
"Monroe","4242","2. CWD sampling self-service kiosk","TOMAH RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1706 ACADEMY AVE.","TOMAH","54660","",""
"Monroe","4243","2. CWD sampling self-service kiosk","ELROY-SPARTA STATE TRAIL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","THAYER STREET","KENDALL","54638","",""
"Monroe","4221","2. CWD sampling self-service kiosk","THEISEN'S OF SPARTA","CWD Testing Only - Must have completed electronic registration","Not Available for bear","3000 S. BLACK RIVER STREET (HWY 27)","SPARTA","54656","",""
"Monroe","4244","2. CWD sampling self-service kiosk","CASHTON SCHOOL AG-DEPARTMENT","CWD Testing Only - Must have completed electronic registration","Not Available for bear","540 COE ST.","CASHTON","54619","608-654-5131",""
"Monroe","4247","2. CWD sampling self-service kiosk","SPARTA HIGHSCHOOL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","506 N BLACK RIVER ST","SPARTA","54656","",""
"Monroe","4239","2. CWD sampling self-service kiosk","RIDGEVILLE TOWN SHOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","103 S WATER ST.","NORWALK","","",""
"Monroe","3239","1. CWD sampling with assistance","PLEUSS TAXIDERMY AND HUNTING","CWD Testing Only - Must have completed electronic registration","Not Available for bear","24037 CO HWY ET","TOMAH","","",""
"Monroe","MCC","1. CWD sampling with assistance","FORT MCCOY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","S J ST BLDG 1538, FORT MCCOY, WI 54656","SPARTA","","","Across from Hunter Information Point off Hwy 21 at J Street, Only available for 9-day gun deer season"
"Monroe, Juneau","4228","2. CWD sampling self-service kiosk","WHITETAIL CROSSING CONVENIENCE STORE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","27867 WI-21","TOMAH","54660","715-284-2852","24/7 Self-Serve Kiosk"
"Oconto","4335","2. CWD sampling self-service kiosk","OCONTO FALLS RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","300 HANK MARKS DRIVE","OCONTO FALLS","54154","715-927-1812","Kiosk is open 24/7. Kiosk is located next to the front door."
"Oconto","4336","2. CWD sampling self-service kiosk","MARTIN'S JUNCTION SHELL STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","12470 WI 32","MOUNTAIN","54174","715-927-1812","Available to hunters 24/7"
"Oconto","4321","2. CWD sampling self-service kiosk","ABRAMS BP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","2531 E FRONTAGE ROAD","ABRAMS","54101-9571","715-927-1812","DAILY 24 HOURS"
"Oconto","4330","2. CWD sampling self-service kiosk","GILLETT SHELL LLC","CWD Testing Only - Must have completed electronic registration","Not Available for bear","6255 STATE HWY 32N","GILLETT","54124","715-927-1812","Kiosk is open 24/7."
"Oneida","4418","2. CWD sampling self-service kiosk","RHINELANDER SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","107 SUTLIFF AVE","RHINELANDER, WI","54501","715-450-4215","Kiosk available 24/7 in DNR Parking Lot.  Contact Curt Rollman 715-450-4215 for Euro mount appointments."
"Oneida","4420","2. CWD sampling self-service kiosk","THREE LAKES SHELL STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1742 SUPERIOR ST","THREE LAKES","54562","715-214-6595","CWD self-sampling kiosk available 24/7.  September 14, 2024 - Jan 5, 2025."
"Oneida","4422","1. CWD sampling with assistance","LAKE TOMAHAWK MEAT MARKET","CWD Testing Only - Must have completed electronic registration","Not Available for bear","7259 HWY 47","LAKE TOMAHAWK","54539","715-214-6595","Monday - Friday  8:00AM-4:00PM September 14, 2024 - January 5, 2025"
"Oneida","4425","1. CWD sampling with assistance","STRASBURG'S NORTH COUNTRY TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Electronic registration options available","6851 US HIGHWAY 51","HAZELHURST","54531","715-356-4273","8:00am to 5:00pm M-F 8:00am to 12:00pm Sat September 14, 2024- January 5. 2025"
"Oneida, Vilas","4424","2. CWD sampling self-service kiosk","WOODRUFF DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","8770 HWY J","WOODRUFF","54568","715-214-6595","Available by appointment. (715) 892 - 5361 or (715) 214 - 6595"
"Oneida, Vilas","4421","1. CWD sampling with assistance","TJ'S BUTCHER BLOCK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","8796 HWY 51","MINOCQUA","54548","715-214-6595","Monday - Friday  9:00AM - 4:00PM Sept 14, 2022- Jan 5, 2025"
"Outagamie","4512","2. CWD sampling self-service kiosk","WILD GAME FINISHING","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W8772 WI-96","HORTONVILLE","54944","715-508-1677","Phone number: (920)-733-4060"
"Outagamie","4508","2. CWD sampling self-service kiosk","DNR - APPLETON FIELD OFFICE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","3369 W. BREWSTER ST.","APPLETON","54914","920-420-2564","Kiosk is located on the North side of the building."
"Ozaukee","6719","3. CWD sampling by appointment only","BACK FORTY TAXIDERMY OF FREDONIA LLC.","CWD Testing Only - Must have completed electronic registration","Not Available for bear","310 JAY RD.","FREDONIA","53021","262-707-2708","By appt. only. Please leave a message if no answer.  Meat processor, as well."
"Pepin","4709","2. CWD sampling self-service kiosk","ROOSTERTAIL BAR & GRILL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","106 W MAIN ST","DURAND","54736","715-672-3640","24 hour self-serve kiosk behind bar along River Street"
"Pierce","4857","2. CWD sampling self-service kiosk","PTACEK'S IGA OLD STORE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1449 ORRIN RD","PRESCOTT","54021","612-963-3168","24/7 Self-serve CWD sampling kiosk"
"Pierce","4801","2. CWD sampling self-service kiosk","OLD SPEEDWAY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","176 W. MAIN STREET","ELLSWORTH","54011","715-970-0062","24/7 Self-serve CWD sampling kiosk  located behind the building"
"Pierce","4800","2. CWD sampling self-service kiosk","SPRING VALLEY CENEX","CWD Testing Only - Must have completed electronic registration","Not Available for bear","105 AKERS ST","SPRING VALLEY","54767","715-778-4281",""
"Polk","4921","2. CWD sampling self-service kiosk","SPORTS AND MORE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","319 KELLER AVENUE SOUTH","AMERY","54001","715-416-4787","24/7 Self-service CWD Kiosk  To sample a deer head that you would like mount, please call (715) 416-4787 for instructions."
"Polk","4923","2. CWD sampling self-service kiosk","FEDERATED CO-OP OSCEOLA","CWD Testing Only - Must have completed electronic registration","Not Available for bear","2634 68TH AVE","OSCEOLA","54020","715-416-4787","24/7 Self-service CWD Kiosk. Located at the Federated Co-op on the south end of Osceola. To sample a deer head, you would like to mount, please call (715) 416-4787 for instructions."
"Polk","4917","2. CWD sampling self-service kiosk","ACE HARDWARE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","406 WISCONSIN AVE. N.","FREDERIC","54837","715-416-4787","24/7 Self-service CWD Kiosk. Located on the south side of Ace Hardware. To sample a deer head you would like to mount, please call (715) 416-4787 for instructions."
"Polk","4915","2. CWD sampling self-service kiosk","POLK COUNTY LAND & WATER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","100 POLK COUNTY PLAZA (EAST SIDE OF BUILDING)","BALSAM LAKE","","715-416-4787","24/7 Self-service CWD Kiosk. Located on east side of Polk County Land & Water building. To sample a deer head you would like to mount, please call (715) 416-4787 for instructions."
"Portage","5058","3. CWD sampling by appointment only","ALMOND CWD SAMPLING GROUP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","8092 COUNTY ROAD GG","ALMOND","54909","715-570-1147","By appointment...call ahead. Mask required when meeting with this cooperator.  Please have Tag # and Customer ID number and location information ready to fill out Data Sheet"
"Portage","5050","2. CWD sampling self-service kiosk","PORTAGE CO. TRANSFER FACILITY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","600 MOORE RD","PLOVER","54467","715-697-3129","Self Service Kiosk Available 24/7  Please have customer ID, tag number, and location information ready."
"Portage","5052","1. CWD sampling with assistance","VOLLMER'S ANIMAL ARTS TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","3631 PLOVER ROAD","PLOVER","54467","715-345-1934","Variable Hours. Call Ahead. Please have Tag # and Customer ID number ready to fill out Data Sheet"
"Price","5199","2. CWD sampling self-service kiosk","PARK FALLS DNR SERVICE CENTER/KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","875 S 4TH AVE.","PARK FALLS","54552","715-762-1340","24/7 Self Sampling Kiosk."
"Price","5113","2. CWD sampling self-service kiosk","PRENTICE DNR RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W5327 GRANBERG RD.","PRENTICE","54556","715-762-1340","24/7 Self Service Kiosk"
"Racine","5208","3. CWD sampling by appointment only","BERNDT'S HIDE SERVICE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","30040 MT TOM RD","BURLINGTON","53105","262-210-4957","Call before you come**- Daily 9am-8pm"
"Racine","5209","2. CWD sampling self-service kiosk","SHOOTERS SPORT CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","4900 6 MILE ROAD","RACINE","53402","262-945-9461","Drop off site only, self-service. For questions please call Wildlife Biologist Marty Johnson - 262-945-9461"
"Racine","5215","2. CWD sampling self-service kiosk","UNION GROVE SCHOOL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","3433 S. COLONY AVE. (HWY 45)","UNION GROVE","53182","262-945-9461","The kiosk (cart) is the parking lot on the north side of the school, by the green house. Will be open during 9-day gun season only."
"Richland","5320","2. CWD sampling self-service kiosk","RICHLAND CENTER WASTE WATER TREATMENT KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","590 S ORANGE ST.","RICHLAND CENTER","53581","608-228-2713","24/7 for duration of the deer seasons."
"Richland","5315","2. CWD sampling self-service kiosk","ITHACA SELF SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","29362 WILLOW CREEK RD","ITHACA","53581","608-228-2713","24/7 for duration of the deer seasons"
"Richland","5314","2. CWD sampling self-service kiosk","DUREN FARMS","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1/4 MILE N OF 13918 HWY 18 CAZENOVIA ON E SIDE OF HWY","CAZENOVIA","53924","608-279-1695","24/7 kiosk 2 miles South of Cazenovia, along HWY 58  Please contact one of the numbers provided when a head is dropped off."
"Richland","5313","2. CWD sampling self-service kiosk","BOAZ SELF SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","ACROSS FROM BOAZ COUNTRY STORE ON CTY E","BOAZ","","608-228-2713","24/7 self service kiosk."
"Richland","5304","1. CWD sampling with assistance","NATURAL BRIDGE STORE","CWD Testing and electronic registration options available","Not Available for bear","17520 STATE HWY 80","RICHLAND CENTER","53581","608-647-4673","DAILY 8am - 8pm   Nine-day Hours: DAILY 9am - 5pm (including Thanksgiving).  Closed on Christmas Day"
"Rock","5402","3. CWD sampling by appointment only","NATURE'S TOUCH TAXIDERMY, INC.","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1108 GATEWAY DRIVE","MILTON","53563","608-754-9401","Usually available during normal business hours. Call ahead to check availability."
"Rock","5407","2. CWD sampling self-service kiosk","SWISS FAMILY SMOKEHOUSE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","104 N MADISON STREET","EVANSVILLE","53536","608-485-3610","24/7 Self Service Kiosk - Text/Call Spencer Parkinson @ 608-485-3610 for assistance. Kiosk is located on the east side of the building."
"Rock","5403","2. CWD sampling self-service kiosk","DNR JANESVILLE SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","2514 MORSE STREET","JANESVILLE","53545","608-220-2574","24/7 Self Service Kiosk available at north end of building."
"Rock","5405","2. CWD sampling self-service kiosk","AVON BOTTOMS WILDLIFE AREA - ADOPTED BY TRACY SCHMIDT","CWD Testing Only - Must have completed electronic registration","Not Available for bear","PARKING LOT ~1/4 MILE EAST OF AVON TOWN HALL","BROADHEAD","53520","262-442-6323","24/7 Self Service Kiosk - Adopted by Tracy Schmidt"
"Rusk","5510","2. CWD sampling self-service kiosk","LADYSMITH DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N4103 STATE HIGHWAY 27","LADYSMITH","54848","715-518-8063","24 Hour CWD Self-Service Kiosk Located on south side of building near front door. Office is currently CLOSED to the public."
"Sauk","5717","2. CWD sampling self-service kiosk","PREM MEATS SELF-SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","5028 US HWY 14","SPRING GREEN","53588","608-228-2713","Self-service kiosk located on site, please note Prem's staff is NOT available to assist."
"Sauk","5700","2. CWD sampling self-service kiosk","DNR TOWER HILL STATE PARK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","5808 COUNTY ROAD C","SPRING GREEN","53588","608-228-2713","DNR Staff will be available for sampling by APPOINTMENT ONLY. To schedule an appointment please call Nancy Frost (608) 225-7362."
"Sauk","5724","2. CWD sampling self-service kiosk","LA VALLE QUICK STOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","112 E MAIN STREET","LA VALLE","53941","623-707-3647","24/7 access Located at the intersection of E Main St. and N East St.  Please contact the number provided on the kiosk when heads are dropped off."
"Sauk","5726","2. CWD sampling self-service kiosk","PRAIRIE DU SAC KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1005 19TH  ST.","PRAIRIE DU SAC","53578","608-228-2713","24/7 Head Collection Kiosk."
"Sauk","5727","2. CWD sampling self-service kiosk","PLAIN 24/7 SELF-SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","590 MAIN ST.","PLAIN","53577","608-228-2713","24/7 Head Collection Kiosk."
"Sauk","5728","2. CWD sampling self-service kiosk","REEDSBURG OUTDOOR CLUB KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","S2064 LUEDTKE RD","LA VALLE","53941","623-707-3647","24/7 Head Collection Kiosk"
"Sauk","5729","2. CWD sampling self-service kiosk","BARABOO WASTE WATER TREATMENT PLANT KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1000 MANCHESTER ST.","BARABOO","53913","608-228-2713","24/7 Head Collection Kiosk"
"Sauk","5712","1. CWD sampling with assistance","ALIVE LOOK TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","E2772 COUNTY ROAD N","HILLPOINT","53937","608-583-3243","ARCHERY SEASON: Call for Availability 9-Day Gun Deer Season: 8:00AM-5:00PM Open Daily; CLOSED Thanksgiving"
"Sauk, Columbia","5723","2. CWD sampling self-service kiosk","WHITETAIL CROSSING CONVENIENCE STORE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","S3214 US-12","BARABOO","53913","715-284-2852","24/7 Self-Serve Kiosk"
"Sawyer","5816","2. CWD sampling self-service kiosk","DNR WINTER RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","5289N N CEMETERY RD","WINTER","54896","715-638-6849","24/7 Self Service Kiosk"
"Sawyer","5817","2. CWD sampling self-service kiosk","DNR HAYWARD SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","10220 STATE HWY 27","HAYWARD","54843","608-419-6560","Assistance available by appointment"
"Sawyer, Washburn","5818","2. CWD sampling self-service kiosk","STONE LAKE BP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","6317 N, WI-27","STONE LAKE","54876","715-865-5110","24/7 Self Service Kiosk"
"Shawano","5996","2. CWD sampling self-service kiosk","PINGEL PROCESSING","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W9248 CO RD A","SHAWANO","54166","715-508-1677","This station serves the public as well as Pingel Processing (CWD testing is available when you drop deer off for processing) and required testing for Hunt for the Hungry"
"Shawano","5995","2. CWD sampling self-service kiosk","KROPF'S MEAT PROCESSING","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N7666 KOLPACK RD","BOWLER","54416","715-508-1677","located on the far side of the building near the parking lot. Phone number: (715)-793-4675"
"Shawano","5997","2. CWD sampling self-service kiosk","NAVARINO FIELD OFFICE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W5682 LINDSTEN RD","SHIOCTON","54170","715-508-1677",""
"Shawano","5999","2. CWD sampling self-service kiosk","SHAWANO DNR FIELD STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","647 LAKELAND ROAD","SHAWANO","54166","715-508-1677","Self-Serve Available Anytime"
"Shawano","5931","2. CWD sampling self-service kiosk","MARION PLAZA SHELL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1107 N. MAIN ST (HWY 110/45)","MARION","54950","715-508-1677","Self-serve kiosks  24 hours Next to Ice Machine on side of building"
"Shawano","5932","2. CWD sampling self-service kiosk","VILLAGE OF TIGERTON","CWD Testing Only - Must have completed electronic registration","Not Available for bear","780 N BEECH STREET","TIGERTON","54486","715-508-1677",""
"Shawano","5927","2. CWD sampling self-service kiosk","JIM'S VENISON PROCESSING","CWD Testing Only - Must have completed electronic registration","Not Available for bear","118 E. WOOD AVE","WITTENBERG","54499","715-508-1677","self service kiosk- 24/7 Sample w/ assistance Jim's Open M-F 8am-7pm and Sat/Sun 8am-6pm. (715)-253-2414"
"Shawano","5933","1. CWD sampling with assistance","BREAKER TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N2897 COMET RD","TIGERTON","54486","715-535-2970","Call ahead to set up an appointment."
"Shawano, Marathon","5926","2. CWD sampling self-service kiosk","WHITETAIL CROSSING CONVENIENCE STORE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N7217 US-45","WITTENBERG","54499","608-304-6826","24/7 Self-Serve Kiosk  Please have Tag # and Customer ID number ready to fill out Data Sheet"
"Sheboygan","6016","3. CWD sampling by appointment only","WEYKER OUTDOORS LLC","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W4650 VORPAHL RD","RANDOM LAKE","53075","920-838-2616","By appointment only.  Please call."
"Sheboygan","6015","3. CWD sampling by appointment only","DNR PLYMOUTH SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1155 PILGRIM ROAD","PLYMOUTH","53073","920-420-0563","By appointment only.  Please call."
"Sheboygan","6017","2. CWD sampling self-service kiosk","DNR PLYMOUTH SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1155 PILGRIM ROAD","PLYMOUTH","53073","920-420-0563","24 Hours"
"Sheboygan","6021","2. CWD sampling self-service kiosk","FARMSTEAD OUTDOORS","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1904 ASHLAND AVE.","SHEBOYGAN","53081","920-208-1027","24 Hours"
"St. Croix","5605","2. CWD sampling self-service kiosk","BALDWIN DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","890 SPRUCE ST.","BALDWIN","54002","715-492-1972","Kiosk Available 24/7"
"St. Croix","5656","2. CWD sampling self-service kiosk","MILL'S FLEET FARM","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1001 INDUSTRIAL STREET","HUDSON","54016","715-386-3281",""
"Taylor","6108","2. CWD sampling self-service kiosk","MEDFORD DNR RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","200 BAUER DR","MEDFORD","54451","715-518-8063","24 Hour CWD Self-Service Kiosk Located BEHIND the DNR Ranger Station on southeast side of the building. Office is currently CLOSED to the public."
"Taylor","6109","2. CWD sampling self-service kiosk","RIB LAKE CENEX","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1302 STATE HIGHWAY 102","RIB LAKE","54470","715-427-3270","24 Hour CWD Self-Service Kiosk Located on northeast side of store Store hours 5am - 10pm"
"Taylor, Chippewa","6110","2. CWD sampling self-service kiosk","GILMAN CORNER STORE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","120 MAIN ST","GILMAN","54433","715-447-8376","24 Hour CWD Self-Service Kiosk Located at front of building Store hours M-F 4am-10pm, weekends 6am-10pm"
"Taylor, Rusk","6103","2. CWD sampling self-service kiosk","NORTHWOODS COUNTRY STORE","CWD Testing and electronic registration options available","Electronic registration options available","N8891 BRIDGE DRIVE","SHELDON","54434","715-668-5265","24 Hour CWD Self-Service Kiosk Located on east side of building Store hours Daily 7am - 8pm NOTE: There may not be cell service at the kiosk."
"Trempealeau","6225","2. CWD sampling self-service kiosk","ARCADIA SELF-SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","HWY 93 AND WILSON STREET","ARCADIA","54612","715-781-9019",""
"Trempealeau","6203","2. CWD sampling self-service kiosk","TOADS COVE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W25128 HWY 35 (HWY 35 AND HWY 54)","CENTERVILLE","54625","608-539-2683",""
"Trempealeau","6224","1. CWD sampling with assistance","BUSHY'S MEAT MARKET","CWD Testing Only - Must have completed electronic registration","Not Available for bear","23553 ADAMS STREET","INDEPENDENCE","54760","715-985-3613","M-F 8am-5:30pm Sat 8am-12pm"
"Trempealeau, Jackson","6228","2. CWD sampling self-service kiosk","OSSEO SELF SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","HWY 10 AND FIELD STREET","OSSEO","54758","","24/7 Kiosk"
"Vernon","6316","3. CWD sampling by appointment only","TIMBERLAND TROPHIES","CWD Testing Only - Must have completed electronic registration","Not Available for bear","120 SWIGGUM RD","WESTBY","54667","608-606-3834","By appointment only. Please bring thawed out heads only"
"Vernon","6310","2. CWD sampling self-service kiosk","NELSON MILL & AGRI-CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","217 N. CENTER AVE.","VIROQUA","54665","608-637-2192","24/7 self sampling kiosk"
"Vernon","6360","2. CWD sampling self-service kiosk","HILSBORO","CWD Testing Only - Must have completed electronic registration","Not Available for bear","STATE RD. 80 & HWY Q","HILLSBORO","54634","608-963-3101",""
"Vernon","6350","2. CWD sampling self-service kiosk","KICKAPOO VALLEY RESERVE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","INTERSECTION STH 131 & CUTOFF RD","ROCKTON","54639","608-485-0876","Self-service 24hrs/7days."
"Vernon, Crawford","6318","3. CWD sampling by appointment only","KUMLIN TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","300 MAIN ST","DE SOTO","54624","608-648-3696","Hours vary. Please call for appointment"
"Vilas","6411","2. CWD sampling self-service kiosk","EAGLE RIVER RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1861 HWY 45 N","EAGLE RIVER","54521","715-214-6595","CWD self-sampling kiosk available 24/7.  September 14, 2024 - Jan 5, 2025."
"Vilas, Oneida","6412","1. CWD sampling with assistance","PRIME CHOICE MEAT MARKET","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1144 US HWY 45 S","EAGLE RIVER","54521","715-214-6595","Monday-Friday  9:00AM-5:00PM Sept 14, 2024 - Jan 5, 2025"
"Walworth","6528","3. CWD sampling by appointment only","BREHM TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W4303 STATE ROAD 20","EAST TROY","53120","262-949-2982","Sampling is by appointment only. Normal business hours are 8:00AM to 5:00PM.  Please call Dave at (262) 949-2982 to schedule an appointment."
"Washburn","6628","2. CWD sampling self-service kiosk","MINONG DNR RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","HWY 77 EAST","MINONG","","715-416-4787","24/7 Self-service CWD Kiosk. To sample a deer head you would like to mount, please call (715) 416-4787 for instructions."
"Washburn","6624","2. CWD sampling self-service kiosk","SPOONER DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","810 W MAPLE ST","SPOONER","54801","715-416-4787","24/7 Self-service CWD Kiosk. To sample a deer head you would like to mount, please call (715) 416-4787 for instructions."
"Washburn","6608","2. CWD sampling self-service kiosk","CENEX SYNERGY COOPERATIVE (FORMERLY ED'S PIT STOP)","CWD Testing Only - Must have completed electronic registration","Not Available for bear","701 EAST HWY 48","BIRCHWOOD","54817","715-416-4787","24/7 Self-Service CWD Kiosk  To Sample a deer head that you would like to mount, please call (715) 416-4787 for instructions."
"Washburn","6617","1. CWD sampling with assistance","ZIMMERMAN TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N5015 10TH ST.","SPOONER","54801","715-635-8822",""
"Washington","6715","2. CWD sampling self-service kiosk","SELF-SERVICE KIOSK AT PIKE LAKE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","3544 KETTLE MORAINE ROAD","HARTFORD","53027","608-267-0866","Open 24 hours a day"
"Waukesha","6818","2. CWD sampling self-service kiosk","KIOSK AT WAUKESHA SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","141 NW BARSTOW ST.","WAUKESHA","","262-666-4327","A self-sampling kiosk is available at the Lee Sherman Dreyfus State Office Building. Kiosk and freezer are located at the West end of the West Building. Please note that there is NOT a saw provided at this location. For any questions please contact Alex at (262) 666-4327."
